

C12 0.0000015 0.0000078 0.0000258 0.0000394 0.0000517 0.0004150 0.0004111 0.0032962 0.0289251 0.4511569 0.0532396 2.9652041 0.6452728 0.5514509 0.0142370 0.0052547 0.0008792 0.0001717 0.0000384 0.0000569 0.0000457 0.0002825 0.0000940 0.0000706 0.0000037 0.0000005
O13 0.0000024 0.0000123 0.0000401 0.0000363 0.0000350 0.0002526 0.0007020 0.0016425 0.0323761 0.0515227 0.0223946 0.6452728 8.1022407 0.1362590 0.0157194 0.0193071 0.0016694 0.0005590 0.0000722 0.0001574 0.0001293 0.0006972 0.0001297 0.0000455 0.0000123 0.0000010
N14 0.0000006 0.0000050 0.0000160 0.0000184 0.0000222 0.0001231 0.0001691 0.0006824 0.0061479 0.0289672 0.0315478 0.5514509 0.1362590 6.3452722 0.4568720 0.0365310 0.0070436 0.0016869 0.0002473 0.0006067 0.0002290 0.0016748 0.0000355 0.0000212 0.0000019 0.0000004
C15 0.0000001 0.0000005 0.0000012 0.0000008 0.0000011 0.0000059 0.0000135 0.0001191 0.0007195 0.0033618 0.0016437 0.0142370 0.0157194 0.4568720 3.6455623 0.4766555 0.0306993 0.0079649 0.0009988 0.0026874 0.0009493 0.0103025 0.0000034 0.0000029 0.0000002 0.0000000
C16 0.0000001 0.0000004 0.0000011 0.0000012 0.0000013 0.0000063 0.0000131 0.0000142 0.0002225 0.0004785 0.0007969 0.0052547 0.0193071 0.0365310 0.4766555 3.8907322 0.4859597 0.0265150 0.0043767 0.0027458 0.0050586 0.0420924 0.0000026 0.0000009 0.0000001 0.0000000
C17 0.0000000 0.0000001 0.0000003 0.0000003 0.0000004 0.0000015 0.0000030 0.0000042 0.0000509 0.0001582 0.0001850 0.0008792 0.0016694 0.0070436 0.0306993 0.4859597 3.5237631 0.6573670 0.0372996 0.0464232 0.0241122 0.6407359 0.0000004 0.0000003 0.0000000 0.0000000
C18 0.0000000 0.0000001 0.0000001 0.0000001 0.0000002 0.0000004 0.0000005 0.0000013 0.0000085 0.0000246 0.0000572 0.0001717 0.0005590 0.0016869 0.0079649 0.0265150 0.6573670 3.9580678 0.7034989 0.0354689 0.0485173 0.0540083 0.0000001 0.0000002 0.0000000 0.0000000
C19 0.0000000 0.0000001 0.0000000 0.0000001 0.0000001 0.0000001 0.0000002 0.0000003 0.0000029 0.0000062 0.0000125 0.0000384 0.0000722 0.0002473 0.0009988 0.0043767 0.0372996 0.7034989 3.9341209 0.6917302 0.0369435 0.0543427 0.0000001 0.0000002 0.0000000 0.0000000
C20 0.0000000 0.0000001 0.0000001 0.0000001 0.0000002 0.0000003 0.0000003 0.0000008 0.0000035 0.0000108 0.0000258 0.0000569 0.0001574 0.0006067 0.0026874 0.0027458 0.0464232 0.0354689 0.6917302 3.9567635 0.6798964 0.0572521 0.0000001 0.0000002 0.0000000 0.0000000
C21 0.0000000 0.0000001 0.0000000 0.0000001 0.0000001 0.0000002 0.0000003 0.0000003 0.0000041 0.0000075 0.0000149 0.0000457 0.0001293 0.0002290 0.0009493 0.0050586 0.0241122 0.0485173 0.0369435 0.6798964 3.5796424 0.6571975 0.0000001 0.0000002 0.0000000 0.0000000
