

C11 0.0055962 0.0194894 0.0037360 0.0002215 0.0001063 0.0000168 0.0000066 0.0000056 0.0000049 0.4730722 3.4222832 0.4304422 0.0112183 0.0061572 0.0037551 0.0005918 0.0003510 0.0005093 0.0042201 0.0111823 0.4342839 0.0113173 0.0053630 0.0044391 0.0006733 0.0003493 0.0005229 0.0045310 0.0108495 0.0007375
N12 0.0008734 0.0060460 0.0004655 0.0000621 0.0000229 0.0000033 0.0000022 0.0000071 0.0000019 0.0353307 0.4304422 6.3234004 0.5380063 0.0861759 0.0541392 0.0074733 0.0089103 0.0123044 0.0408386 0.5150663 0.0571913 0.0060918 0.0028425 0.0014578 0.0002372 0.0004628 0.0003025 0.0012288 0.0039108 0.0000781
C13 0.0001308 0.0005585 0.0000719 0.0000526 0.0000059 0.0000012 0.0000006 0.0000064 0.0000014 0.0025942 0.0112183 0.5380063 3.6462435 0.7187275 0.0397749 0.0211523 0.0046369 0.0178559 0.0094263 0.0413371 0.0156957 0.0139050 0.0033273 0.0006188 0.0002955 0.0001844 0.0002997 0.0005140 0.0015789 0.0000120
C14 0.0001064 0.0005003 0.0000487 0.0000100 0.0000033 0.0000008 0.0000005 0.0000013 0.0000011 0.0020405 0.0061572 0.0861759 0.7187275 3.9885544 0.6249119 0.0289764 0.0120652 0.0050129 0.0043844 0.0378209 0.0016996 0.0012259 0.0005061 0.0001040 0.0000762 0.0000359 0.0000928 0.0001229 0.0002682 0.0000088
C15 0.0000370 0.0001645 0.0000228 0.0000060 0.0000013 0.0000002 0.0000001 0.0000006 0.0000005 0.0009009 0.0037551 0.0541392 0.0397749 0.6249119 3.8500198 0.6412995 0.0340817 0.0337381 0.0301819 0.5993911 0.0012150 0.0004056 0.0002363 0.0000752 0.0000263 0.0000272 0.0000288 0.0000570 0.0001852 0.0000053
C16 0.0000133 0.0000309 0.0000132 0.0000020 0.0000006 0.0000001 0.0000002 0.0000002 0.0000007 0.0003209 0.0005918 0.0074733 0.0211523 0.0289764 0.6412995 3.9549364 0.7168939 0.0383901 0.0538048 0.0304678 0.0003491 0.0001492 0.0000704 0.0000329 0.0000143 0.0000132 0.0000169 0.0000244 0.0000682 0.0000025
C17 0.0000201 0.0000546 0.0000129 0.0000017 0.0000005 0.0000001 0.0000001 0.0000003 0.0000004 0.0004541 0.0003510 0.0089103 0.0046369 0.0120652 0.0340817 0.7168939 3.9510108 0.6785645 0.0350617 0.0316833 0.0001944 0.0000778 0.0000875 0.0000124 0.0000091 0.0000050 0.0000130 0.0000143 0.0000497 0.0000038
C18 0.0000222 0.0000533 0.0000208 0.0000020 0.0000008 0.0000001 0.0000001 0.0000003 0.0000014 0.0007049 0.0005093 0.0123044 0.0178559 0.0050129 0.0337381 0.0383901 0.6785645 3.9511558 0.7025161 0.0348300 0.0001665 0.0001239 0.0000725 0.0000217 0.0000143 0.0000047 0.0000159 0.0000162 0.0000610 0.0000035
C19 0.0000675 0.0003497 0.0001382 0.0000139 0.0000021 0.0000004 0.0000002 0.0000005 0.0000012 0.0046950 0.0042201 0.0408386 0.0094263 0.0043844 0.0301819 0.0538048 0.0350617 0.7025161 3.9431763 0.6524335 0.0006580 0.0001706 0.0001294 0.0000296 0.0000123 0.0000105 0.0000178 0.0000364 0.0000737 0.0000140
C20 0.0000591 0.0005429 0.0001198 0.0000126 0.0000016 0.0000004 0.0000002 0.0000013 0.0000009 0.0044005 0.0111823 0.5150663 0.0413371 0.0378209 0.5993911 0.0304678 0.0316833 0.0348300 0.6524335 3.6175158 0.0041460 0.0005680 0.0004496 0.0002639 0.0000591 0.0000803 0.0000582 0.0001356 0.0004220 0.0000096
