

O12 0.0000021 0.0000211 0.0000292 0.0002226 0.0009002 0.0001353 0.0001278 0.0002554 0.0044977 0.0710304 0.4084115 7.9737440 0.4277328 0.0402309 0.0101469 0.0155764 0.0372040 0.0080833 0.0006885 0.0094219 0.0014966 0.0367049 0.0091305 0.0011258 0.0005320 0.0000782 0.0002491 0.0000012
C13 0.0000001 0.0000009 0.0000013 0.0000145 0.0000272 0.0000045 0.0000034 0.0000122 0.0003201 0.0026987 0.0110854 0.4277328 3.4788662 0.4489669 0.0462161 0.0289486 0.4406327 0.0379295 0.0026004 0.0187191 0.0042507 0.0093789 0.0011495 0.0001008 0.0000281 0.0000115 0.0000365 0.0000001
C14 0.0000001 0.0000008 0.0000007 0.0000075 0.0000107 0.0000043 0.0000029 0.0000059 0.0001031 0.0011183 0.0018507 0.0402309 0.4489669 2.9527075 0.6929375 0.4429284 0.0208661 0.0119372 0.0007245 0.0018313 0.0005072 0.0040778 0.0006489 0.0000181 0.0000131 0.0000048 0.0000899 0.0000001
O15 0.0000003 0.0000019 0.0000013 0.0000254 0.0000107 0.0000037 0.0000041 0.0000081 0.0000667 0.0008815 0.0005219 0.0101469 0.0462161 0.6929375 8.0237463 0.1535551 0.0095021 0.0636367 0.0025544 0.0008891 0.0007916 0.0009597 0.0003385 0.0000088 0.0000065 0.0000085 0.0002391 0.0000004
O16 0.0000019 0.0000322 0.0000299 0.0002639 0.0001487 0.0000212 0.0000334 0.0000436 0.0010101 0.0301729 0.0027792 0.0155764 0.0289486 0.4429284 0.1535551 8.0301908 0.0029022 0.0022366 0.0002100 0.0005509 0.0001672 0.0046911 0.0008121 0.0000872 0.0000887 0.0001739 0.0032610 0.0000015
C17 0.0000001 0.0000003 0.0000014 0.0000043 0.0000143 0.0000021 0.0000017 0.0000054 0.0000657 0.0007249 0.0028085 0.0372040 0.4406327 0.0208661 0.0095021 0.0029022 3.4953895 0.4413349 0.0194541 0.4442017 0.0398254 0.0202920 0.0069645 0.0000332 0.0000106 0.0000048 0.0000112 0.0000001
O18 0.0000001 0.0000003 0.0000004 0.0000016 0.0000039 0.0000008 0.0000008 0.0000031 0.0000199 0.0002752 0.0004085 0.0080833 0.0379295 0.0119372 0.0636367 0.0022366 0.4413349 7.7897722 0.4405547 0.0326118 0.0549461 0.0020835 0.0015421 0.0000156 0.0000065 0.0000017 0.0000163 0.0000001
C19 0.0000000 0.0000001 0.0000001 0.0000003 0.0000006 0.0000001 0.0000003 0.0000007 0.0000018 0.0000276 0.0000617 0.0006885 0.0026004 0.0007245 0.0025544 0.0002100 0.0194541 0.4405547 3.6124286 0.0022240 0.0041103 0.0003097 0.0001611 0.0000013 0.0000007 0.0000002 0.0000011 0.0000000
C20 0.0000003 0.0000012 0.0000044 0.0000217 0.0002030 0.0000493 0.0000333 0.0000084 0.0003903 0.0056520 0.0173519 0.0094219 0.0187191 0.0018313 0.0008891 0.0005509 0.4442017 0.0326118 0.0022240 3.4939612 0.4426706 0.4514766 0.0455982 0.0000927 0.0000188 0.0000099 0.0000323 0.0000005
O21 0.0000003 0.0000018 0.0000016 0.0000109 0.0000784 0.0000212 0.0000176 0.0000086 0.0001466 0.0020185 0.0072120 0.0014966 0.0042507 0.0005072 0.0007916 0.0001672 0.0398254 0.0549461 0.0041103 0.4426706 8.0269548 0.0461132 0.0228827 0.0000241 0.0000118 0.0000040 0.0000197 0.0000006
