

C11 0.0000041 0.0000037 0.0000146 0.0000045 0.0000430 0.0002379 0.0012212 0.0064889 0.0409302 0.4485900 3.6283962 0.4142839 0.0118522 0.0050618 0.0237970 0.0323234 0.0041077 0.0006419 0.0000688 0.0000080 0.0000011 0.0000172 0.0021748 0.0004077 0.0000801 0.0000190 0.0000462 0.0162027 0.0108512 0.0006567 0.0000840 0.0006562 0.0024494 0.0003996 0.0001429 0.0000206 0.0017539 0.0002131 0.0000291 0.0000037 0.0000011 0.0000101 0.0000653 0.0000213 0.0000031 0.0000012 0.0000037 0.0000121
O12 0.0000041 0.0000053 0.0000110 0.0000036 0.0000095 0.0000539 0.0003055 0.0009077 0.0073095 0.0295352 0.4142839 7.7792119 0.4484716 0.0348841 0.1393401 0.0190361 0.0005774 0.0000900 0.0007653 0.0000156 0.0000231 0.0000360 0.0003088 0.0003210 0.0000116 0.0000030 0.0000310 0.0038054 0.0544420 0.0019797 0.0012463 0.0014011 0.0003739 0.0000798 0.0000447 0.0000043 0.0004566 0.0000312 0.0000068 0.0000006 0.0000003 0.0000054 0.0000128 0.0000048 0.0000008 0.0000004 0.0000019 0.0000061
C13 0.0000002 0.0000004 0.0000016 0.0000006 0.0000017 0.0000089 0.0000522 0.0000889 0.0010398 0.0033554 0.0118522 0.4484716 2.9137236 0.4795372 0.6668122 0.0006631 0.0000229 0.0000105 0.0000133 0.0000005 0.0000009 0.0000009 0.0000376 0.0000101 0.0000014 0.0000004 0.0000018 0.0001633 0.0019738 0.0001567 0.0008277 0.0001786 0.0000141 0.0000056 0.0000032 0.0000006 0.0000655 0.0000014 0.0000006 0.0000001 0.0000001 0.0000010 0.0000007 0.0000003 0.0000000 0.0000000 0.0000003 0.0000003
C14 0.0000000 0.0000001 0.0000007 0.0000002 0.0000004 0.0000029 0.0000174 0.0000272 0.0004362 0.0005145 0.0050618 0.0348841 0.4795372 3.9806315 0.0600909 0.0000674 0.0000039 0.0000012 0.0000233 0.0000016 0.0000174 0.0000038 0.0000050 0.0000112 0.0000003 0.0000003 0.0000007 0.0000348 0.0002937 0.0000556 0.0011943 0.0000809 0.0000081 0.0000016 0.0000009 0.0000002 0.0000335 0.0000008 0.0000005 0.0000001 0.0000001 0.0000004 0.0000004 0.0000003 0.0000000 0.0000000 0.0000001 0.0000001
O15 0.0000008 0.0000009 0.0000025 0.0000014 0.0000016 0.0000065 0.0000299 0.0001002 0.0003668 0.0020719 0.0237970 0.1393401 0.6668122 0.0600909 8.1449865 0.0010267 0.0001038 0.0000192 0.0000314 0.0000011 0.0000023 0.0000030 0.0000469 0.0000231 0.0000027 0.0000010 0.0000037 0.0003334 0.0015094 0.0001736 0.0002795 0.0002170 0.0000357 0.0000581 0.0001034 0.0000193 0.0016532 0.0000042 0.0000034 0.0000010 0.0000004 0.0000042 0.0000013 0.0000016 0.0000002 0.0000001 0.0000009 0.0000013
O16 0.0003214 0.0004166 0.0004660 0.0001538 0.0000436 0.0002158 0.0042815 0.0132150 0.0760903 0.4033727 0.0323234 0.0190361 0.0006631 0.0000674 0.0010267 7.8601158 0.4188658 0.0381897 0.0152176 0.0005935 0.0000661 0.0008535 0.0436531 0.0042637 0.0007314 0.0001010 0.0007616 0.0441753 0.0040780 0.0006245 0.0001085 0.0007871 0.0013718 0.0002801 0.0000327 0.0000120 0.0000410 0.0004616 0.0001252 0.0000171 0.0000050 0.0000262 0.0001091 0.0000235 0.0000040 0.0000012 0.0000075 0.0005192
C17 0.0011402 0.0014508 0.0013971 0.0004968 0.0000200 0.0000700 0.0028559 0.0004180 0.0116950 0.0137119 0.0041077 0.0005774 0.0000229 0.0000039 0.0001038 0.4188658 3.5055819 0.4680057 0.0294518 0.0039982 0.0005938 0.0019480 0.4450314 0.0329649 0.0037893 0.0004766 0.0025648 0.0203946 0.0026455 0.0004274 0.0000946 0.0002705 0.0001455 0.0000324 0.0000044 0.0000014 0.0000078 0.0000184 0.0000069 0.0000011 0.0000004 0.0000018 0.0000311 0.0000083 0.0000014 0.0000005 0.0000021 0.0017850
C18 0.0010710 0.0001461 0.0001862 0.0000955 0.0000034 0.0000075 0.0002446 0.0000465 0.0013085 0.0042715 0.0006419 0.0000900 0.0000105 0.0000012 0.0000192 0.0381897 0.4680057 3.6106107 0.4106978 0.0121445 0.0045458 0.0219159 0.0187974 0.0123709 0.0009208 0.0001205 0.0011016 0.0024222 0.0005458 0.0000943 0.0000274 0.0000577 0.0000180 0.0000030 0.0000005 0.0000002 0.0000014 0.0000042 0.0000015 0.0000001 0.0000001 0.0000006 0.0000030 0.0000010 0.0000001 0.0000001 0.0000004 0.0027068
O19 0.0002477 0.0000473 0.0000750 0.0000352 0.0000013 0.0000028 0.0000968 0.0000224 0.0006361 0.0004257 0.0000688 0.0007653 0.0000133 0.0000233 0.0000314 0.0152176 0.0294518 0.4106978 7.7973125 0.4508070 0.0353029 0.1378627 0.0034819 0.0533743 0.0026402 0.0017558 0.0013435 0.0002977 0.0002302 0.0000119 0.0000038 0.0000248 0.0000122 0.0000035 0.0000008 0.0000004 0.0000016 0.0000024 0.0000010 0.0000002 0.0000001 0.0000011 0.0000014 0.0000006 0.0000001 0.0000001 0.0000007 0.0006496
C20 0.0000167 0.0000064 0.0000090 0.0000043 0.0000002 0.0000005 0.0000153 0.0000017 0.0000681 0.0000286 0.0000080 0.0000156 0.0000005 0.0000016 0.0000011 0.0005935 0.0039982 0.0121445 0.4508070 2.9500253 0.4826138 0.6782444 0.0002276 0.0019535 0.0002101 0.0008272 0.0001535 0.0000487 0.0000112 0.0000016 0.0000006 0.0000022 0.0000017 0.0000006 0.0000001 0.0000001 0.0000003 0.0000002 0.0000001 0.0000000 0.0000000 0.0000002 0.0000003 0.0000002 0.0000000 0.0000000 0.0000002 0.0000395
