

N11 0.0002688 0.0029741 0.0110589 0.0704468 0.0424695 0.0062452 0.0102884 0.0082111 0.0471598 0.5244170 6.3827781 0.7839307 0.0436585 0.0216315 0.0097697 0.0020291 0.0006364 0.0001392 0.0002080 0.0000124 0.0000118 0.0000096 0.0000953 0.0004592 0.0001113
C12 0.0002033 0.0012346 0.0017680 0.0213753 0.0088795 0.0010600 0.0015670 0.0015129 0.0113728 0.0238657 0.7839307 3.4123291 0.4795020 0.0220308 0.0299402 0.0049927 0.0009664 0.0001789 0.0003479 0.0000181 0.0000178 0.0000184 0.0002363 0.0010283 0.0000295
C13 0.0000121 0.0000890 0.0001948 0.0026272 0.0007209 0.0001795 0.0000570 0.0001639 0.0007501 0.0064872 0.0436585 0.4795020 3.8136305 0.4907243 0.4724912 0.0240017 0.0075869 0.0007251 0.0024284 0.0001176 0.0001186 0.0001165 0.0007512 0.0060343 0.0000021
C14 0.0000027 0.0000316 0.0000762 0.0010943 0.0003251 0.0000504 0.0001299 0.0000462 0.0002862 0.0010075 0.0216315 0.0220308 0.4907243 3.9530331 0.0259495 0.0100162 0.0013651 0.0006641 0.0004530 0.0000382 0.0000169 0.0000200 0.0015556 0.0107864 0.0000011
C15 0.0000079 0.0000316 0.0000354 0.0006027 0.0001336 0.0000155 0.0000267 0.0000772 0.0003427 0.0007277 0.0097697 0.0299402 0.4724912 0.0259495 3.8800075 0.5031547 0.0282412 0.0048556 0.0024003 0.0001967 0.0001211 0.0001255 0.0047101 0.0260700 0.0000010
C16 0.0000021 0.0000087 0.0000081 0.0001069 0.0000307 0.0000042 0.0000102 0.0000195 0.0000814 0.0002156 0.0020291 0.0049927 0.0240017 0.0100162 0.5031547 3.8601770 0.6833406 0.0339122 0.0422281 0.0020422 0.0018380 0.0017874 0.0347847 0.6683805 0.0000003
C17 0.0000008 0.0000040 0.0000043 0.0000366 0.0000128 0.0000036 0.0000015 0.0000077 0.0000223 0.0001013 0.0006364 0.0009664 0.0075869 0.0013651 0.0282412 0.6833406 3.9560329 0.6851798 0.0352543 0.0046293 0.0009133 0.0010681 0.0522598 0.0368303 0.0000002
C18 0.0000002 0.0000011 0.0000010 0.0000116 0.0000033 0.0000006 0.0000008 0.0000016 0.0000058 0.0000129 0.0001392 0.0001789 0.0007251 0.0006641 0.0048556 0.0339122 0.6851798 3.9531726 0.6889902 0.0261517 0.0059266 0.0056802 0.0373073 0.0490434 0.0000001
C19 0.0000003 0.0000012 0.0000023 0.0000123 0.0000017 0.0000012 0.0000004 0.0000046 0.0000097 0.0000519 0.0002080 0.0003479 0.0024284 0.0004530 0.0024003 0.0422281 0.0352543 0.6889902 3.8770858 0.4865149 0.0274218 0.0269775 0.6692639 0.0337060 0.0000001
C20 0.0000000 0.0000001 0.0000001 0.0000008 0.0000002 0.0000001 0.0000001 0.0000003 0.0000006 0.0000025 0.0000124 0.0000181 0.0001176 0.0000382 0.0001967 0.0020422 0.0046293 0.0261517 0.4865149 3.7998865 0.4884820 0.4836451 0.0233474 0.0046243 0.0000000
C21 0.0000000 0.0000001 0.0000001 0.0000008 0.0000001 0.0000001 0.0000001 0.0000003 0.0000006 0.0000027 0.0000118 0.0000178 0.0001186 0.0000169 0.0001211 0.0018380 0.0009133 0.0059266 0.0274218 0.4884820 3.9618426 0.0293634 0.0098878 0.0009445 0.0000000
C22 0.0000000 0.0000001 0.0000001 0.0000007 0.0000001 0.0000001 0.0000001 0.0000003 0.0000005 0.0000026 0.0000096 0.0000184 0.0001165 0.0000200 0.0001255 0.0017874 0.0010681 0.0056802 0.0269775 0.4836451 0.0293634 3.9613494 0.0108941 0.0013795 0.0000000
C23 0.0000001 0.0000005 0.0000006 0.0000070 0.0000029 0.0000006 0.0000019 0.0000013 0.0000053 0.0000126 0.0000953 0.0002363 0.0007512 0.0015556 0.0047101 0.0347847 0.0522598 0.0373073 0.6692639 0.0233474 0.0098878 0.0108941 3.9637489 0.6952060 0.0000001
C24 0.0000004 0.0000019 0.0000040 0.0000279 0.0000074 0.0000022 0.0000041 0.0000078 0.0000210 0.0000921 0.0004592 0.0010283 0.0060343 0.0107864 0.0260700 0.6683805 0.0368303 0.0490434 0.0337060 0.0046243 0.0009445 0.0013795 0.6952060 3.9399133 0.0000002
